,Ticker,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,sharesOutstanding,bookValue,sharesShort,sharesPercentSharesOut,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,lastSplitDate,lastSplitFactor,earningsQuarterlyGrowth,dateShortInterest,pegRatio,forwardPE,maxAge,shortPercentOfFloat,sharesShortPriorMonth,eps,Market Cap,PE,NI,EBIT
486,WRK,1.156,0.04892,6.811,-0.40722656,4.09,257043008,45.313,4909039,0.0191,1538265600,0.90141,847299968,3.262,0.032832503,0.80396354,0.01359,1601424000,1553990400,1.38,2019/4/15,253269369,1.620281,20018796544,2,2016/5/16,10000/11099,-0.281,1557878400,0.85,8.90709,1,,3886407,3.262000174,9364076544,11.1679945,1906100000,1632000000
487,WU,2.072,0.14653,8.439,-0.035423636,1.91,430708992,-0.864,49116519,0.11399999,1546214400,1.05515,811400000,1.802,0.032832503,,0.00413,1609372800,1553990400,8.52,2019/4/15,429218261,0.730358,11474276352,2,-,,-0.19,1557878400,5.8,10.481676,1,0.1464,39658541,1.801999986,8622793728,11.109878,851900000,1110400000
488,WY,3.354,0.02619,14.455,-0.37262654,0.96,744785984,11.817,12519995,0.0168,1546214400,0.79595,190000000,0.253,0.032832503,2.0402808,0.00258,1609372800,1553990400,3.32,2019/4/15,742678415,1.781861,24327462912,2,2010/7/20,1月2日,,1557878400,7.24,25.114584,1,0.019299999,12474441,0.252999981,17956790272,95.29645,748000000,1374000000
489,WYNN,2.888,0.1325,11.438,-0.3860193,8.13,107134000,19.46,4145840,0.0385,1546214400,0.75897,881609024,8.152,0.032832503,5.995375,0.09774,1609372800,1553990400,1.9,2019/4/15,90599129,1.693512,19215417344,2,-,,,1557878400,1.33,14.3505535,1,0.0425,6504249,8.152000182,12499323904,14.311825,572430000,1259357000
490,XEC,3.343,0.269,5.187,-0.3641261,8.6,99647200,37.756,3776908,0.0372,1546214400,0.97309995,621713984,6.59,0.032832503,1.492478,0.01567,1609372800,1553990400,2.77,2019/4/15,97508799,1.594874,7851462144,2,-,,-0.859,1557878400,1.96,6.5523252,1,0.0422,2775584,6.590000461,5615119360,8.550834,791851000,1046968000
491,XEL,4.231,0.10958,13.596,0.41063368,2.79,514672992,23.955,12692539,0.0247,1546214400,0.77676004,1284999936,2.507,0.032832503,2.473805,0.00225,1609372800,1553990400,4.54,2019/4/15,513304160,0.197354,49612025856,2,1998/6/2,1月2日,0.082,1557878400,3.44,21.240143,1,0.0247,11857312,2.507000013,30499520512,23.637814,1261000000,1851000000
492,XLNX,7.861,0.29086,22.589,0.5417383,4.42,253920000,11.271,6019313,0.023699999,1553904000,0.90467,889750016,3.47,0.032832503,9.837636,0.00213,1617062400,1553904000,1.12,2019/4/15,253528963,1.273706,24047777792,2,1999/12/28,1月2日,0.682,1557878400,2.76,25.085972,1,0.026800001,4820477,3.470000053,28154648576,31.95389,889750000,960199000
493,XOM,1.315,0.06729,9.658,-0.10252702,5.47,4231089920,45.194,37107579,0.0088,1546214400,0.55561,18539999232,4.34,0.032832503,1.657521,0.00087,1609372800,1553990400,3.2,2019/4/15,4224324164,1.116144,3.62E+11,2,2001/7/19,1月2日,-0.495,1557878400,1.4,13.694699,1,0.0088,36631628,4.340000167,3.17E+11,17.260368,20840000000,21539000000
494,XRAY,3.671,-0.26481,22.102,0.28894007,2.65,233978000,22.823,5247960,0.0224,1546214400,1.01725,-1053000000,-4.719,0.032832503,2.501862,0.0068,1609372800,1553990400,3.04,2019/4/15,233116459,0.710799,14598300672,2,2006/7/18,1月2日,-0.517,1557878400,2.54,21.547169,1,0.026300002,6216870,,13360143360,,-1011000000,341900000
495,XRX,1.29,0.049060002,9.002,0.21479368,4.13,224627008,22.203,6553455,0.0292,1546214400,0.88282996,457000000,1.859,0.032832503,1.5624015,0.04087,1609372800,1553990400,2.4,2019/4/15,192129856,2.064992,12386244608,2,2017/6/15,4月1日,4.783,1557878400,0.91,8.399515,1,0.0344,6807434,1.85900002,7792310784,18.66057,361000000,978000000
496,XYL,3.186,0.10503,17.756,0.10776937,3.72,179932992,15.542,4044471,0.0225,1546214400,0.91893995,549000000,3.03,0.032832503,5.1717925,0.00656,1609372800,1553990400,4.31,2019/4/15,179186287,1.22054,16655470592,2,-,,0,1557878400,1.51,21.607527,1,0.0253,4537414,3.030000206,14463013888,26.528051,549000000,692000000
497,YUM,7.887,0.24610001,23.173,0.31235707,4.25,305975008,-25.83,5141976,0.0168,1546214400,0.77036005,1371000064,4.253,0.032832503,,0.00145,1609372800,1553990400,3.64,2019/4/15,305467199,0.42163,43936706560,2,2016/11/1,1000/1391,-0.395,1557878400,1.63,25.564707,1,0.0168,4488679,4.252999657,33244184576,25.546675,1542000000,1762000000
498,ZBH,4.034,-0.03901,12.904,0.0570879,8.29,204798000,56.32,2744661,0.013400001,1546214400,0.9182,-307800000,-1.51,0.032832503,2.1610441,0.00237,1609372800,1553990400,2.09,2019/4/15,204341583,1.361741,31831769088,2,-,,0.409,1557878400,3.5,14.681544,1,0.013400001,2729726,,24925964288,,-379200000,1487000000
499,ZION,4.684,0.30602,,-0.22856641,4.79,182564992,38.474,26102899,0.143,1546214400,0.96550006,820000000,4.027,0.032832503,1.1394708,0.01497,1609372800,1553990400,13.25,2019/4/15,180097046,1.604894,13148150784,2,1997/5/15,1月4日,-0.105,1557878400,1.43,9.152401,1,0.16600001,25164020,4.026999636,8003649024,10.886517,884000000,0
500,ZTS,9.721,0.2347,26.36,0.26418567,3.87,478656000,4.837,4660691,0.0097,1546214400,0.94918996,1388000000,2.86,0.032832503,22.786852,0.00293,1609372800,1553990400,2.31,2019/4/15,478244545,0.626126,57491898368,2,-,,-0.114,1557878400,2.52,28.480621,1,0.0097,5694570,2.859999817,52757463040,38.538464,1428000000,1891000000
501,ZTS,9.721,0.2347,26.36,0.26418567,3.87,478656000,4.837,4660691,0.0097,1546214400,0.94918996,1388000000,2.86,0.032832503,22.786852,0.00293,1609372800,1553990400,2.31,2019/4/15,478244545,0.626126,57491898368,2,-,,-0.114,1557878400,2.52,28.480621,1,0.0097,5694570,2.859999817,52757463040,38.538464,1428000000,1891000000
502,ZTS,9.721,0.2347,26.36,0.26418567,3.87,478656000,4.837,4660691,0.0097,1546214400,0.94918996,1388000000,2.86,0.032832503,22.786852,0.00293,1609372800,1553990400,2.31,2019/4/15,478244545,0.626126,57491898368,2,-,,-0.114,1557878400,2.52,28.480621,1,0.0097,5694570,2.859999817,52757463040,38.538464,1428000000,1891000000
